City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Tuktoyaktuk,CA,2022-10-03 14:26:24,69.4541,-133.0374,24.8,93,100,5.75
248,La Palma,US,2022-10-03 14:26:25,33.8464,-118.0467,67.51,87,20,0.0
249,Hofn,IS,2022-10-03 14:26:25,64.2539,-15.2082,48.43,93,100,4.56
250,Sur,OM,2022-10-03 14:26:26,22.5667,59.5289,82.72,65,0,11.43
251,Nikolskoye,RU,2022-10-03 14:26:26,59.7035,30.7861,44.49,92,100,18.25
252,Vrangel,RU,2022-10-03 14:26:27,42.7297,133.0839,60.3,92,100,6.67
253,Thai Binh,VN,2022-10-03 14:26:27,20.45,106.3333,78.71,87,23,5.61
254,La Uvita,CO,2022-10-03 14:26:27,6.3168,-72.5603,64.9,55,57,3.38
255,Lebu,CL,2022-10-03 14:26:28,-37.6167,-73.65,54.36,65,100,5.82
256,Te Anau,NZ,2022-10-03 14:26:28,-45.4167,167.7167,34.3,90,5,0.4
257,Talas,TR,2022-10-03 14:26:29,38.6908,35.5538,72.27,43,40,2.3
258,Buala,SB,2022-10-03 14:26:29,-8.145,159.5921,79.9,82,58,3.58
259,Tainan,TW,2022-10-03 14:26:00,22.9908,120.2133,82.87,83,75,0.0
260,Marsabit,KE,2022-10-03 14:26:30,2.3284,37.9899,78.84,34,80,17.05
261,Dhidhdhoo,MV,2022-10-03 14:26:30,6.8833,73.1,81.81,78,93,20.11
262,Souillac,MU,2022-10-03 14:26:31,-20.5167,57.5167,71.98,78,75,13.8
263,Vao,NC,2022-10-03 14:26:31,-22.6667,167.4833,69.24,69,100,15.77
264,Mayo,US,2022-10-03 14:26:31,38.8876,-76.5119,52.11,82,100,7.0
265,Saint-Louis,SN,2022-10-03 14:26:32,16.3333,-15.0,94.44,38,94,8.08
266,Ambilobe,MG,2022-10-03 14:26:32,-13.2,49.05,79.57,49,18,5.64
267,Flinders,AU,2022-10-03 14:26:33,-34.5833,150.8552,58.37,78,92,1.99
268,Ishigaki,JP,2022-10-03 14:26:33,24.3448,124.1572,80.73,78,3,6.91
269,Ezerelis,LT,2022-10-03 14:26:34,54.8833,23.6167,48.74,67,100,21.21
270,Mogadishu,SO,2022-10-03 14:26:34,2.0371,45.3438,78.13,78,57,15.93
271,Porto Walter,BR,2022-10-03 14:26:35,-8.2686,-72.7439,87.28,52,100,1.92
272,Gallup,US,2022-10-03 14:26:36,35.5281,-108.7426,54.36,93,100,8.05
273,Panama City,PA,2022-10-03 14:26:36,8.9936,-79.5197,86.16,74,20,9.22
274,Orocue,CO,2022-10-03 14:26:37,4.7912,-71.3354,84.13,67,30,1.01
275,Cockburn Town,TC,2022-10-03 14:26:37,21.4612,-71.1419,82.99,72,100,5.88
276,Wajima,JP,2022-10-03 14:26:37,37.4,136.9,73.58,68,99,9.22
277,Sola,VU,2022-10-03 14:26:38,-13.8833,167.55,79.54,77,72,8.79
278,Port Lincoln,AU,2022-10-03 14:26:38,-34.7333,135.8667,58.42,86,100,16.24
279,Strelna,RU,2022-10-03 14:26:39,59.8483,30.0261,44.65,81,100,15.66
280,Parlakimidi,IN,2022-10-03 14:26:39,18.7667,84.0833,80.08,88,100,3.38
281,Krishnagiri,IN,2022-10-03 14:27:40,12.5333,78.2333,77.68,66,100,4.12
282,Magadan,RU,2022-10-03 14:27:40,59.5667,150.8,30.52,71,93,10.51
