City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Zhezkazgan,KZ,47.8043,67.7144,40.98,30,0,13.42,clear sky
218,Malanje,AO,-9.5402,16.341,64.24,93,99,3.6,overcast clouds
219,Beyneu,KZ,45.3167,55.2,55.26,39,10,16.33,clear sky
220,Cozumel,MX,20.5083,-86.9458,78.01,75,40,5.99,scattered clouds
221,Kavaratti,IN,10.5669,72.642,81.48,76,83,14.54,broken clouds
222,Ulaangom,MN,49.9811,92.0667,41.27,30,0,3.71,clear sky
223,Do Gonbadan,IR,30.3586,50.7981,83.89,10,0,3.09,clear sky
224,Surin,TH,14.8818,103.4936,85.23,71,89,3.06,overcast clouds
225,Jiwani,PK,25.05,61.7417,80.8,77,3,9.78,clear sky
226,Cidreira,BR,-30.1811,-50.2056,58.96,87,2,5.26,clear sky
227,Trelew,AR,-43.249,-65.3051,61.68,39,73,19.44,broken clouds
228,Cairo Montenotte,IT,44.4031,8.2746,61.83,92,0,3.69,clear sky
229,Camabatela,AO,-8.1881,15.375,61.81,98,92,2.59,overcast clouds
230,Baghdad,IQ,33.3406,44.4009,73.31,33,0,2.3,clear sky
231,Chkalovsk,RU,56.7647,43.2433,50.77,90,100,16.22,overcast clouds
232,Geraldton,AU,-28.7667,114.6,68.41,52,100,13.8,overcast clouds
233,Jacobina,BR,-11.1806,-40.5183,64.63,84,4,3.29,clear sky
234,Chenzhou,CN,25.8,113.0333,73.26,55,96,6.53,overcast clouds
235,Port-Gentil,GA,-0.7193,8.7815,76.91,82,84,8.3,broken clouds
236,Provideniya,RU,64.3833,-173.3,37.51,87,75,13.42,broken clouds
237,Ondjiva,AO,-17.0667,15.7333,66.04,17,0,1.86,clear sky
238,Klaksvik,FO,62.2266,-6.589,49.12,84,14,34.69,light rain
239,High Level,CA,58.5169,-117.136,42.91,75,40,9.22,smoke
240,Aripuana,BR,-9.1667,-60.6333,72.84,86,41,1.41,scattered clouds
241,Nyurba,RU,63.2842,118.3319,29.8,90,100,9.53,light snow
242,Birpur,IN,26.5167,87.0167,80.47,78,99,5.57,overcast clouds
243,Coihaique,CL,-45.5752,-72.0662,46.35,71,75,2.3,broken clouds
244,Auki,SB,-8.7676,160.7034,86.11,57,14,8.7,few clouds
245,Esperance,AU,-33.8667,121.9,64.51,67,68,17.63,broken clouds
246,Ancud,CL,-41.8697,-73.8203,46.4,92,16,5.28,few clouds
247,Soyo,AO,-6.1349,12.3689,74.86,88,75,5.93,broken clouds
248,Ishinomaki,JP,38.4167,141.3,62.08,58,99,15.28,overcast clouds
249,Buraydah,SA,26.326,43.975,76.78,27,0,6.35,clear sky
250,Otse,BW,-25.0167,25.7333,67.91,39,17,7.54,few clouds
251,Kintampo,GH,8.0563,-1.7306,70.77,95,73,4.14,broken clouds
252,Ibra,OM,22.6906,58.5334,80.46,46,73,1.68,broken clouds
253,Troitsko-Pechorsk,RU,62.7084,56.1964,45.3,84,100,5.95,overcast clouds
254,Berlevag,NO,70.8578,29.0864,42.8,87,100,3.44,overcast clouds
255,Gazojak,TM,41.1875,61.4036,56.7,24,0,15.5,clear sky
256,Raudeberg,NO,61.9875,5.1352,48.87,41,74,15.64,broken clouds
257,Srednekolymsk,RU,67.45,153.6833,26.87,55,41,18.79,scattered clouds
258,Collie,AU,-33.3667,116.15,58.96,59,52,11.41,broken clouds
259,Adrar,MR,20.5022,-10.0711,88.05,18,31,12.71,scattered clouds
260,Alofi,NU,-19.0595,-169.9187,77.54,82,20,15.19,few clouds
261,Brasilia,BR,-15.7797,-47.9297,70.72,68,75,3.44,broken clouds
262,Pavlohrad,UA,48.5167,35.8667,46.26,84,22,7.72,few clouds
263,Alamos,MX,27.0167,-108.9333,70.27,82,6,2.04,clear sky
264,Pirovskoye,RU,57.6267,92.2658,38.32,65,100,9.53,overcast clouds
265,Snezhnogorsk,RU,69.1933,33.2531,37.18,94,100,10.29,overcast clouds
266,Jacksonville,US,30.3322,-81.6556,69.8,79,40,0.0,scattered clouds
267,Ouadda,CF,8.0777,22.4007,66.7,96,97,1.81,overcast clouds
268,Guangyuan,CN,32.442,105.823,55.96,92,100,5.46,overcast clouds
269,Ajdabiya,LY,30.7554,20.2263,68.88,75,0,7.05,clear sky
270,Athens,GR,37.9795,23.7162,65.17,59,20,6.91,few clouds
