City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Buchanan,LR,75.72,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
602,Trinidad,BO,78.49,few clouds,-14.8333,-64.9,Hotel Piesta
608,Itaituba,BR,75.63,few clouds,-4.2761,-55.9836,Hotel Campos
609,Tuy Hoa,VN,81.64,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
613,Nata,PA,76.64,overcast clouds,8.3333,-80.5167,Rey David
614,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
616,Petatlan,MX,76.24,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
622,Port Augusta,AU,79.56,few clouds,-32.5,137.7667,Majestic Oasis Apartments
638,Sola,VU,81.18,few clouds,-13.8833,167.55,Leumerus Bungalows
648,Black River,JM,79.11,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
649,Porto Velho,BR,80.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
654,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
